@relation courses
@attribute voteCount NUMERIC
@attribute voteValue NUMERIC
@attribute simiCount NUMERIC
@attribute bookCount NUMERIC
@attribute bookExist NUMERIC
@attribute voteOrnot NUMERIC
@attribute freeOrnot NUMERIC
@data
104,4.01923,10,0,0,1,1
105,4.01905,10,0,0,1,1
106,4.01887,10,0,0,1,1
106,4.01887,7,24,1,1,1
107,4.01869,9,0,0,1,1
108,4.01852,9,0,0,1,1
108,4.01852,10,0,0,1,1
110,4.01818,9,0,0,1,1
110,4.01818,10,0,0,1,1
56,4.01786,13,14,1,1,1
119,4.01681,10,0,0,1,1
129,4.0155,10,0,0,1,1
90,4.01111,6,0,0,1,1
93,4.01075,10,0,0,1,1
93,4.01075,12,22,1,1,1
95,4.01053,9,0,0,1,1
95,4.01053,9,0,0,1,1
96,4.01042,13,0,0,1,1
97,4.01031,10,0,0,1,1
100,4.01,0,0,0,1,1
104,4.00962,10,0,0,1,1
106,4.00943,9,0,0,1,1
106,4.00943,10,0,0,1,1
108,4.00926,10,0,0,1,1
110,4.00909,6,20,1,1,1
112,4.00893,10,0,0,1,1
113,4.00885,10,0,0,1,1
114,4.00877,9,0,0,1,1
115,4.0087,9,0,0,1,1
112,4.0,6,0,0,1,1
19,4.0,7,0,0,1,1
19,4.0,0,0,0,1,1
19,4.0,0,0,0,1,0
19,4.0,0,0,0,1,0
109,4.0,9,0,0,1,1
95,4.0,10,0,0,1,1
104,4.0,4,22,1,1,1
102,4.0,15,24,1,1,1
102,4.0,10,0,0,1,1
101,4.0,10,0,0,1,1
100,4.0,10,0,0,1,1
49,4.0,0,0,0,1,1
21,4.0,0,0,0,1,0
20,4.0,0,0,0,1,0
20,4.0,0,0,0,1,0
94,4.0,6,24,1,1,1
94,4.0,10,0,0,1,1
84,4.0,10,0,0,1,1
55,4.0,8,0,0,1,1
51,4.0,10,0,0,1,1
49,4.0,12,18,1,1,1
44,4.0,7,0,0,1,1
41,4.0,10,0,0,1,1
40,4.0,10,0,0,1,1
39,4.0,10,0,0,1,1
37,4.0,10,19,1,1,1
31,4.0,13,0,0,1,1
31,4.0,10,0,0,1,1
29,4.0,10,0,0,1,1
28,4.0,10,0,0,1,1
28,4.0,10,0,0,1,0
27,4.0,14,19,1,1,0
26,4.0,16,17,1,1,1
26,4.0,10,0,0,1,1
25,4.0,10,0,0,1,1
24,4.0,10,0,0,1,1
24,4.0,10,0,0,1,0
23,4.0,10,0,0,1,0
23,4.0,10,0,0,1,0
23,4.0,10,0,0,1,0
23,4.0,10,0,0,1,0
23,4.0,17,24,1,1,1
22,4.0,10,0,0,1,0
22,4.0,10,0,0,1,0
22,4.0,10,0,0,1,1
